epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,753.163,1.17781,1.10908,1.68069,1.2545,0.26558,0.36325,0.24491,0.13477,0.2813,0.35977,0.27015,0.17033,1.6008,1.54005,2.50195,1.85573,0.000638047,0.000638047,0.000638047
45,770.006,1.1823,0.97201,1.84913,1.38686,0.26167,0.38952,0.23149,0.13339,0.27155,0.36843,0.25557,0.16981,1.53485,1.47435,2.33957,1.72217,0.000627048,0.000627048,0.000627048
46,786.867,1.14734,1.24789,1.82292,1.29706,0.24385,0.34241,0.22571,0.12485,0.24105,0.32203,0.2454,0.1579,1.47574,1.4363,2.38716,1.59279,0.000616049,0.000616049,0.000616049
47,803.502,1.13669,1.06223,1.74087,1.24221,0.30439,0.36415,0.23993,0.12486,0.31566,0.36415,0.26676,0.1526,1.44956,1.44321,2.39277,1.53515,0.000605051,0.000605051,0.000605051
48,820.318,1.14321,1.11818,1.52065,1.3103,0.58303,0.2689,0.31348,0.17316,0.58303,0.2689,0.31478,0.19783,1.55267,1.50883,2.09204,1.64403,0.000594052,0.000594052,0.000594052
49,840.313,1.17189,1.19102,1.86698,1.27648,0.398,0.3508,0.28306,0.14436,0.36454,0.31016,0.28814,0.17987,1.65924,1.55317,2.09384,1.67538,0.000583053,0.000583053,0.000583053
50,857.228,1.10842,0.95226,1.53515,1.15218,0.32023,0.34498,0.26848,0.13544,0.31859,0.34498,0.31074,0.19048,1.70881,1.48507,2.13864,1.74921,0.000572054,0.000572054,0.000572054
51,874.014,1.23709,0.99874,1.79731,1.43563,0.36147,0.26198,0.26797,0.15684,0.3994,0.28265,0.3138,0.20627,1.70696,1.50503,2.12767,1.74659,0.000561055,0.000561055,0.000561055
52,890.746,1.17055,0.91434,1.65483,1.32408,0.64422,0.20434,0.30677,0.17499,0.46195,0.31721,0.37313,0.23773,1.69751,1.56274,2.36744,1.77717,0.000550056,0.000550056,0.000550056
53,910.811,1.08304,1.01085,1.51569,1.31849,0.76254,0.20035,0.31461,0.18195,0.4749,0.29444,0.38849,0.2417,1.66964,1.64499,2.42487,1.84248,0.000539057,0.000539057,0.000539057
54,930.336,1.15956,1.05282,1.55301,1.26007,0.67224,0.22813,0.31052,0.17705,0.67224,0.22813,0.36963,0.23257,1.6718,1.66419,2.18729,1.84958,0.000528058,0.000528058,0.000528058
55,947.085,1.00233,0.99156,1.54265,1.19802,0.33573,0.36635,0.32613,0.17737,0.35002,0.37722,0.35176,0.22067,1.63455,1.63415,2.11022,1.80438,0.000517059,0.000517059,0.000517059
56,964.932,1.23572,1.11498,1.70217,1.38047,0.27539,0.4207,0.2517,0.14108,0.30605,0.44803,0.28746,0.15332,1.56268,1.68679,2.26016,1.64687,0.00050606,0.00050606,0.00050606
57,982.228,1.0525,1.20467,1.58152,1.28446,0.32821,0.30486,0.24501,0.13753,0.35853,0.40226,0.27288,0.1557,1.55266,1.54961,2.17319,1.57356,0.000495062,0.000495062,0.000495062
58,999.504,1.12993,0.84164,1.51659,1.22154,0.27815,0.2646,0.25142,0.15009,0.26039,0.34129,0.27474,0.16591,1.50807,1.45219,2.21542,1.54453,0.000484063,0.000484063,0.000484063
59,1016.51,1.04829,0.94252,1.50326,1.19774,0.24866,0.26656,0.24817,0.15985,0.22367,0.33782,0.28028,0.16912,1.44757,1.4458,2.19286,1.50836,0.000473064,0.000473064,0.000473064
60,1033.9,1.03615,0.93677,1.41733,1.25706,0.24276,0.39256,0.23176,0.14901,0.22478,0.35471,0.25191,0.16391,1.42608,1.39489,2.32731,1.48606,0.000462065,0.000462065,0.000462065
61,1051.34,0.97245,0.97383,1.45666,1.19904,0.26761,0.37533,0.24357,0.15355,0.31909,0.33826,0.27391,0.17588,1.44566,1.39085,2.19013,1.56906,0.000451066,0.000451066,0.000451066
62,1068.63,1.06141,1.12093,1.40533,1.17341,0.356,0.28014,0.26481,0.16938,0.32781,0.38015,0.30507,0.19119,1.41855,1.44136,2.16116,1.565,0.000440067,0.000440067,0.000440067
63,1085.63,1.06352,0.98541,1.47459,1.20583,0.3582,0.29199,0.29133,0.19736,0.51374,0.27161,0.32552,0.21888,1.4584,1.46524,2.15015,1.49416,0.000429068,0.000429068,0.000429068
64,1103,1.05286,0.99455,1.60226,1.24745,0.4657,0.24987,0.29653,0.19951,0.38406,0.3226,0.34385,0.21612,1.43505,1.56578,2.14476,1.48094,0.000418069,0.000418069,0.000418069
65,1120.11,1.08681,1.06155,1.61761,1.32487,0.43665,0.24987,0.27993,0.1942,0.45934,0.28852,0.32395,0.21045,1.41672,1.5277,2.19701,1.50181,0.00040707,0.00040707,0.00040707
66,1137.46,0.99533,1.05171,1.32701,1.129,0.38271,0.28881,0.32325,0.21358,0.43638,0.32699,0.36713,0.23149,1.39085,1.5527,2.29805,1.43773,0.000396071,0.000396071,0.000396071
67,1157.39,0.96639,0.94359,1.3488,1.09504,0.41206,0.2692,0.319,0.21809,0.4318,0.28592,0.35613,0.23043,1.3748,1.55888,2.23711,1.44518,0.000385073,0.000385073,0.000385073
68,1177.6,0.96288,0.84897,1.24045,1.09943,0.33738,0.40914,0.31196,0.21616,0.33923,0.4216,0.34526,0.23574,1.32341,1.50712,1.91503,1.40193,0.000374074,0.000374074,0.000374074
69,1198.27,0.97074,0.86508,1.29489,1.13519,0.42346,0.38809,0.34607,0.23788,0.44224,0.40983,0.38243,0.25759,1.38204,1.47699,1.69781,1.46382,0.000363075,0.000363075,0.000363075
70,1218.42,0.87343,0.9376,1.3116,1.12194,0.43713,0.38169,0.34899,0.2463,0.40185,0.42516,0.38993,0.26274,1.39984,1.49158,1.66943,1.48722,0.000352076,0.000352076,0.000352076
71,1239.37,0.92924,1.07054,1.37322,1.12413,0.38697,0.44962,0.34262,0.2312,0.41779,0.48356,0.3884,0.25409,1.38753,1.53565,1.69524,1.50095,0.000341077,0.000341077,0.000341077
72,1256.33,1.00685,0.88835,1.41131,1.1736,0.37798,0.42381,0.35471,0.21647,0.36886,0.42381,0.38371,0.2445,1.40144,1.59864,1.87073,1.43433,0.000330078,0.000330078,0.000330078
73,1273.66,0.94693,0.79253,1.43118,1.21459,0.40686,0.40613,0.39141,0.22699,0.42391,0.43391,0.40858,0.25395,1.39084,1.56344,1.88879,1.38848,0.000319079,0.000319079,0.000319079
74,1290.73,0.89839,0.89376,1.20305,1.13479,0.40668,0.46273,0.42834,0.27454,0.43713,0.48419,0.43508,0.288,1.29765,1.47672,1.86547,1.2885,0.00030808,0.00030808,0.00030808
75,1310.76,0.89887,0.99528,1.22056,1.11552,0.60967,0.33292,0.41691,0.24942,0.60967,0.33292,0.42507,0.27106,1.29134,1.51461,1.88792,1.27724,0.000297081,0.000297081,0.000297081
76,1327.83,0.97269,0.84318,1.32142,1.23693,0.35666,0.47909,0.38017,0.2402,0.4541,0.36012,0.40829,0.26094,1.31326,1.50274,2.04944,1.2697,0.000286083,0.000286083,0.000286083
77,1344.76,0.83609,0.89631,1.19818,1.08329,0.31793,0.49006,0.35435,0.21963,0.32283,0.4658,0.38567,0.24832,1.38509,1.45248,2.11079,1.3472,0.000275084,0.000275084,0.000275084
78,1361.8,0.87532,0.7885,1.25292,1.15607,0.30816,0.46699,0.34698,0.22095,0.32064,0.50915,0.37792,0.2584,1.40634,1.39903,2.0927,1.41812,0.000264085,0.000264085,0.000264085
